caldt,vwretd,sprtrn
2019-01-02,0.001449,0.001269
2019-01-03,-0.024185,-0.024757
2019-01-04,0.034411,0.034336
2019-01-07,0.007184,0.007010
2019-01-08,0.009812,0.009695
2019-01-09,0.004378,0.004098
2019-01-10,0.004437,0.004518
2019-01-11,-0.000186,-0.000146
2019-01-14,-0.005098,-0.005258
2019-01-15,0.010897,0.010722
2019-01-16,0.002342,0.002222
2019-01-17,0.007688,0.007591
2019-01-18,0.013054,0.013183
2019-01-22,-0.014128,-0.014157
2019-01-23,0.002240,0.002203
2019-01-24,0.001365,0.001376
2019-01-25,0.008474,0.008489
2019-01-28,-0.007767,-0.007847
2019-01-29,-0.001588,-0.001456
2019-01-30,0.015589,0.015549
2019-01-31,0.009047,0.008597
2019-02-01,0.000532,0.000899
2019-02-04,0.006822,0.006776
2019-02-05,0.004871,0.004708
2019-02-06,-0.002180,-0.002224
2019-02-07,-0.009075,-0.009357
2019-02-08,0.000911,0.000676
2019-02-11,0.000711,0.000709
2019-02-12,0.013018,0.012890
2019-02-13,0.003121,0.003024
2019-02-14,-0.002304,-0.002652
2019-02-15,0.010844,0.010879
2019-02-19,0.001752,0.001499
2019-02-20,0.001832,0.001777
2019-02-21,-0.003445,-0.003526
2019-02-22,0.006174,0.006411
2019-02-25,0.001318,0.001232
2019-02-26,-0.000786,-0.000790
2019-02-27,-0.000339,-0.000544
2019-02-28,-0.002310,-0.002826
2019-03-01,0.006898,0.006895
2019-03-04,-0.003768,-0.003881
2019-03-05,-0.001059,-0.001131
2019-03-06,-0.006534,-0.006524
2019-03-07,-0.008000,-0.008126
2019-03-08,-0.002004,-0.002132
2019-03-11,0.014628,0.014666
2019-03-12,0.002939,0.002953
2019-03-13,0.007003,0.006950
2019-03-14,-0.000529,-0.000868
2019-03-15,0.004991,0.004985
2019-03-18,0.003872,0.003706
2019-03-19,0.000037,-0.000131
2019-03-20,-0.002928,-0.002944
2019-03-21,0.010964,0.010853
2019-03-22,-0.018962,-0.018975
2019-03-25,-0.000717,-0.000839
2019-03-26,0.007090,0.007183
2019-03-27,-0.004685,-0.004644
2019-03-28,0.003732,0.003590
2019-03-29,0.006741,0.006734
2019-04-01,0.011517,0.011569
2019-04-02,0.000073,0.000017
2019-04-03,0.002156,0.002148
2019-04-04,0.002351,0.002085
2019-04-05,0.004658,0.004636
2019-04-08,0.001107,0.001047
2019-04-09,-0.005806,-0.006067
2019-04-10,0.003639,0.003478
2019-04-11,0.000029,0.000038
2019-04-12,0.006635,0.006609
2019-04-15,-0.000535,-0.000629
2019-04-16,0.000547,0.000509
2019-04-17,-0.002107,-0.002274
2019-04-18,0.001579,0.001579
2019-04-22,0.001037,0.001012
2019-04-23,0.008963,0.008841
2019-04-24,-0.002133,-0.002192
2019-04-25,-0.000425,-0.000369
2019-04-26,0.004754,0.004685
2019-04-29,0.001062,0.001071
2019-04-30,0.000885,0.000951
2019-05-01,-0.007579,-0.007502
2019-05-02,-0.002055,-0.002124
2019-05-03,0.009847,0.009638
2019-05-06,-0.004217,-0.004471
2019-05-07,-0.016479,-0.016512
2019-05-08,-0.001591,-0.001605
2019-05-09,-0.002655,-0.003021
2019-05-10,0.004079,0.003720
2019-05-13,-0.024222,-0.024131
2019-05-14,0.008204,0.008016
2019-05-15,0.006106,0.005839
2019-05-16,0.009243,0.008895
2019-05-17,-0.005822,-0.005837
2019-05-20,-0.006675,-0.006749
2019-05-21,0.008451,0.008496
2019-05-22,-0.002695,-0.002824
2019-05-23,-0.011892,-0.011914
2019-05-24,0.001547,0.001354
2019-05-28,-0.008258,-0.008376
2019-05-29,-0.006880,-0.006912
2019-05-30,0.002145,0.002098
2019-05-31,-0.013026,-0.013195
2019-06-03,-0.003838,-0.002765
2019-06-04,0.021459,0.021432
2019-06-05,0.008292,0.008162
2019-06-06,0.006412,0.006136
2019-06-07,0.010716,0.010498
2019-06-10,0.004890,0.004660
2019-06-11,-0.000330,-0.000350
2019-06-12,-0.001926,-0.002038
2019-06-13,0.004364,0.004097
2019-06-14,-0.001489,-0.001612
2019-06-17,0.000955,0.000932
2019-06-18,0.009654,0.009717
2019-06-19,0.002994,0.002985
2019-06-20,0.009615,0.009472
2019-06-21,-0.001173,-0.001259
2019-06-24,-0.001748,-0.001732
2019-06-25,-0.009528,-0.009496
2019-06-26,-0.001157,-0.001234
2019-06-27,0.003914,0.003823
2019-06-28,0.005759,0.005757
2019-07-01,0.007701,0.007672
2019-07-02,0.003009,0.002928
2019-07-03,0.007925,0.007672
2019-07-05,-0.001645,-0.001806
2019-07-08,-0.004766,-0.004835
2019-07-09,0.001610,0.001237
2019-07-10,0.004575,0.004511
2019-07-11,0.002276,0.002285
2019-07-12,0.004736,0.004620
2019-07-15,0.000259,0.000176
2019-07-16,-0.003349,-0.003404
2019-07-17,-0.006408,-0.006531
2019-07-18,0.003601,0.003582
2019-07-19,-0.006124,-0.006177
2019-07-22,0.002845,0.002829
2019-07-23,0.006862,0.006848
2019-07-24,0.004685,0.004688
2019-07-25,-0.005342,-0.005262
2019-07-26,0.007469,0.007388
2019-07-29,-0.001819,-0.001616
2019-07-30,-0.002500,-0.002579
2019-07-31,-0.010922,-0.010886
2019-08-01,-0.008869,-0.008999
2019-08-02,-0.007262,-0.007283
2019-08-05,-0.029815,-0.029778
2019-08-06,0.013058,0.013017
2019-08-07,0.000913,0.000767
2019-08-08,0.018936,0.018762
2019-08-09,-0.006570,-0.006617
2019-08-12,-0.011969,-0.012184
2019-08-13,0.014964,0.014994
2019-08-14,-0.028994,-0.029293
2019-08-15,0.003009,0.002464
2019-08-16,0.014498,0.014426
2019-08-19,0.012123,0.012106
2019-08-20,-0.007905,-0.007915
2019-08-21,0.008248,0.008247
2019-08-22,-0.000517,-0.000506
2019-08-23,-0.025935,-0.025946
2019-08-26,0.011102,0.010983
2019-08-27,-0.003152,-0.003203
2019-08-28,0.006525,0.006545
2019-08-29,0.012822,0.012687
2019-08-30,0.000769,0.000643
2019-09-03,-0.006681,-0.006899
2019-09-04,0.010909,0.010842
2019-09-05,0.013217,0.013010
2019-09-06,0.000882,0.000911
2019-09-09,0.000104,-0.000094
2019-09-10,0.000303,0.000322
2019-09-11,0.007254,0.007230
2019-09-12,0.003021,0.002879
2019-09-13,-0.000472,-0.000724
2019-09-16,-0.003194,-0.003136
2019-09-17,0.002621,0.002582
2019-09-18,0.000336,0.000343
2019-09-19,0.000141,0.000020
2019-09-20,-0.004882,-0.004896
2019-09-23,-0.000063,-0.000097
2019-09-24,-0.008351,-0.008416
2019-09-25,0.006205,0.006159
2019-09-26,-0.002448,-0.002429
2019-09-27,-0.005145,-0.005316
2019-09-30,0.005126,0.005048
2019-10-01,-0.012230,-0.012258
2019-10-02,-0.017947,-0.017903
2019-10-03,0.008108,0.007972
2019-10-04,0.014223,0.014217
2019-10-07,-0.004477,-0.004478
2019-10-08,-0.015368,-0.015561
2019-10-09,0.009412,0.009105
2019-10-10,0.006456,0.006416
2019-10-11,0.011091,0.010939
2019-10-14,-0.001421,-0.001387
2019-10-15,0.009907,0.009956
2019-10-16,-0.001846,-0.002000
2019-10-17,0.002889,0.002763
2019-10-18,-0.003943,-0.003919
2019-10-21,0.006919,0.006872
2019-10-22,-0.003536,-0.003569
